                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70923,                 3.1111,                 1.2562,                0.00748,                      1,                0.30895,                0.22998,                0.65144,                 3.6482,                 1.3121,                0.00027,                0.00027,                0.00027
                      2,                0.59077,                 2.2231,                 1.1497,                0.55036,                0.65991,                  0.599,                0.47488,                0.65084,                 2.5784,                 1.3923,             0.00053639,             0.00053639,             0.00053639
                      3,                0.56742,                 1.5874,                 1.1212,                0.84921,                0.64075,                0.80002,                0.64288,                0.69111,                 2.5763,                 1.4319,             0.00078892,             0.00078892,             0.00078892
                      4,                0.61676,                 1.4272,                 1.1438,                0.79694,                0.66772,                0.93444,                 0.7857,                0.59195,                 2.3998,                 1.2656,             0.00092575,             0.00092575,             0.00092575
                      5,                0.58039,                 1.2339,                 1.1234,                0.79014,                0.76413,                0.95079,                0.78384,                0.67346,                 2.0772,                 1.3392,               0.000901,               0.000901,               0.000901
                      6,                0.55854,                 1.1903,                 1.1005,                0.65843,                 0.6963,                0.76246,                0.60038,                0.81977,                 2.4915,                 1.5123,             0.00087625,             0.00087625,             0.00087625
                      7,                0.55348,                 1.1352,                 1.0945,                0.93613,                0.88881,                 0.9382,                0.79933,                0.54058,                 1.5144,                 1.1818,              0.0008515,              0.0008515,              0.0008515
                      8,                0.54157,                0.98913,                 1.0804,                0.91057,                0.81058,                0.90837,                0.78549,                0.55955,                 1.3932,                 1.2439,             0.00082675,             0.00082675,             0.00082675
                      9,                  0.525,                 1.0064,                 1.0767,                0.91179,                0.84124,                0.94634,                0.79802,                0.63168,                 1.4408,                 1.2755,               0.000802,               0.000802,               0.000802
                     10,                0.50873,                 0.9194,                 1.0673,                0.95389,                0.90181,                 0.9768,                0.88757,                0.45865,                0.97003,                 1.1297,             0.00077725,             0.00077725,             0.00077725
                     11,                0.52309,                0.86188,                 1.0766,                0.92766,                0.90567,                0.97969,                0.86497,                0.52486,                 1.0585,                 1.1777,              0.0007525,              0.0007525,              0.0007525
                     12,                0.51264,                0.82794,                 1.0641,                 0.9808,                0.99309,                  0.995,                0.90134,                0.45096,                0.84013,                 1.1069,             0.00072775,             0.00072775,             0.00072775
                     13,                0.49254,                0.79207,                 1.0514,                0.94679,                0.93763,                0.99238,                0.88158,                0.49626,                0.97058,                 1.1947,               0.000703,               0.000703,               0.000703
                     14,                0.46768,                0.72067,                 1.0396,                0.92807,                0.94994,                0.98599,                0.85166,                0.54015,                0.94104,                 1.1922,             0.00067825,             0.00067825,             0.00067825
                     15,                0.48564,                0.71356,                 1.0489,                0.95847,                0.95247,                0.99405,                0.88886,                0.50927,                0.78028,                 1.1469,              0.0006535,              0.0006535,              0.0006535
                     16,                0.47569,                0.69439,                 1.0361,                0.95801,                0.96411,                0.99254,                0.86807,                0.51114,                0.73113,                 1.1375,             0.00062875,             0.00062875,             0.00062875
                     17,                0.46444,                0.66783,                 1.0224,                0.98854,                      1,                  0.995,                0.89683,                 0.5176,                0.72056,                  1.164,               0.000604,               0.000604,               0.000604
                     18,                0.45563,                0.64584,                 1.0158,                0.93829,                0.97814,                  0.995,                0.89142,                0.49584,                0.73522,                 1.1522,             0.00057925,             0.00057925,             0.00057925
                     19,                0.44301,                0.63638,                  1.034,                0.98051,                0.99058,                  0.995,                0.88172,                0.50937,                0.66877,                 1.1474,              0.0005545,              0.0005545,              0.0005545
                     20,                0.45301,                0.65105,                  1.026,                0.98084,                0.98024,                  0.995,                0.90374,                0.44804,                0.60595,                  1.093,             0.00052975,             0.00052975,             0.00052975
                     21,                0.45218,                0.62851,                 1.0178,                0.97118,                0.97852,                  0.995,                0.89624,                0.49416,                 0.5955,                 1.1323,               0.000505,               0.000505,               0.000505
                     22,                0.42692,                0.59458,                 0.9999,                0.96912,                0.98191,                  0.995,                0.90985,                0.45968,                0.57591,                 1.1071,             0.00048025,             0.00048025,             0.00048025
                     23,                0.42069,                0.56528,                 1.0115,                0.98876,                 0.9907,                  0.995,                0.92327,                0.43134,                0.55352,                 1.0756,              0.0004555,              0.0004555,              0.0004555
                     24,                0.41416,                0.54441,                  1.001,                0.97961,                0.99618,                  0.995,                0.93969,                0.40553,                 0.5625,                  1.047,             0.00043075,             0.00043075,             0.00043075
                     25,                0.40601,                0.53744,                0.99883,                0.97071,                0.99151,                  0.995,                0.90942,                0.45158,                0.59025,                 1.1093,               0.000406,               0.000406,               0.000406
                     26,                0.40645,                0.52239,                0.99765,                0.97715,                0.98714,                  0.995,                0.93218,                0.40657,                0.52083,                 1.0535,             0.00038125,             0.00038125,             0.00038125
                     27,                0.39414,                0.50359,                0.97965,                0.97816,                0.99031,                  0.995,                0.91967,                0.43537,                 0.5342,                  1.072,              0.0003565,              0.0003565,              0.0003565
                     28,                0.39441,                0.51043,                0.99579,                0.97472,                0.97047,                 0.9945,                0.92329,                0.44224,                 0.5345,                 1.0661,             0.00033175,             0.00033175,             0.00033175
                     29,                0.39974,                 0.4735,                0.99825,                0.98734,                0.99418,                  0.995,                0.92652,                0.44294,                 0.5199,                 1.0644,               0.000307,               0.000307,               0.000307
                     30,                0.39043,                0.47256,                0.99539,                 0.9876,                0.98725,                  0.995,                0.93901,                0.41103,                0.50157,                 1.0454,             0.00028225,             0.00028225,             0.00028225
                     31,                0.38215,                0.73196,                 1.0209,                 0.9873,                0.99279,                  0.995,                0.89912,                0.43475,                0.55792,                 1.0805,              0.0002575,              0.0002575,              0.0002575
                     32,                0.34319,                0.51926,                 1.0052,                0.98846,                0.99737,                  0.995,                0.92541,                0.40903,                 0.5165,                 1.0508,             0.00023275,             0.00023275,             0.00023275
                     33,                0.33138,                0.50234,                 0.9909,                0.99186,                0.99219,                  0.995,                 0.9248,                0.39217,                0.46925,                 1.0254,               0.000208,               0.000208,               0.000208
                     34,                0.31792,                0.47108,                 0.9765,                0.98811,                0.98092,                  0.995,                0.92785,                0.40055,                0.47695,                  1.036,             0.00018325,             0.00018325,             0.00018325
                     35,                0.31517,                0.45156,                 0.9697,                0.98965,                0.97972,                  0.995,                0.93783,                 0.3895,                0.46649,                 1.0359,              0.0001585,              0.0001585,              0.0001585
                     36,                0.32172,                0.43735,                0.96751,                0.99327,                0.97941,                0.99425,                0.93232,                0.39221,                0.44356,                 1.0327,             0.00013375,             0.00013375,             0.00013375
                     37,                0.30653,                0.42222,                0.95608,                0.99274,                 0.9809,                0.99425,                0.93394,                0.38166,                0.42616,                 1.0144,               0.000109,               0.000109,               0.000109
                     38,                0.29365,                0.41136,                0.94983,                0.99371,                0.98453,                  0.995,                0.93104,                0.37823,                0.41332,                  1.011,              8.425e-05,              8.425e-05,              8.425e-05
                     39,                0.29548,                0.42281,                 0.9595,                0.99507,                0.98114,                  0.995,                0.93729,                0.37151,                 0.4047,                 1.0103,               5.95e-05,               5.95e-05,               5.95e-05
                     40,                0.28785,                0.39628,                0.95298,                0.99327,                0.98185,                  0.995,                0.93723,                 0.3664,                0.39734,                 1.0087,              3.475e-05,              3.475e-05,              3.475e-05
